Strategy,Instrument,Position Size,Risk-Reward Ratio,Entry Price,Confidence Level,Result,Profit/Loss
📈 Trading Journal Entry - XAU/USD (RSI Bull Trap),XAU/USD (Gold),1.8 Lots,1:2.5,$2002,Medium,Successful,$50 (2.5 times the risk)
📈 Trading Journal Entry - XAU/USD (Support and Resistance Breakout),XAU/USD (Gold),2 Lots,1:3,$2015,High,Successful,$90 (3 times the risk)
📈 Trading Journal Entry - XAU/USD (Support and Resistance Breakout),XAU/USD (Gold),2.2 Lots,1:3.5,$2015,High,Successful,$90 (3.5 times the risk)
📈 Trading Journal Entry - XAU/USD (Moving Average),XAU/USD (Gold),1.5 Lots,1:2,$1982,Medium,Successful,$30 (2 times the risk)
📈 Trading Journal Entry - XAU/USD (RSI Bull Trap),XAU/USD (Gold),2 Lots,1:3,$1990,High,Successful,$90 (3 times the risk)
📈 Trading Journal Entry - XAU/USD (Support and Resistance Breakout),XAU/USD (Gold),1.8 Lots,1:2.5,$2005,Medium,Unsuccessful,-$75 (2.5 times the risk)
📈 Trading Journal Entry - XAU/USD (Moving Average),XAU/USD (Gold),1.5 Lots,1:3,$1985,High,Successful,$90 (3 times the risk)
📈 Trading Journal Entry - XAU/USD (RSI Bull Trap),XAU/USD (Gold),2 Lots,1:3,$1990,High,Successful,$90 (3 times the risk)
📈 Trading Journal Entry - XAU/USD (Moving Average),XAU/USD (Gold),1.5 Lots,1:3,$1985,High,Successful,$90 (3 times the risk)
📈 Trading Journal Entry - XAU/USD (RSI Bull Trap),XAU/USD (Gold),2 Lots,1:3,$1990,High,Successful,$90 (3 times the risk)
📈 Trading Journal Entry - XAU/USD (Round Figure Support),XAU/USD (Gold),1 Lot,1:2,$2000,Medium,Successful,$40 (2 times the risk)
📈 Trading Journal Entry - XAU/USD (Moving Average),XAU/USD (Gold),1 Lot,1:3,$1975,High,Successful,$60 (3 times the risk)
📈 Trading Journal Entry - XAU/USD (Support and Resistance Breakout),XAU/USD (Gold),1.8 Lots,1:2.5,$2005,Medium,Unsuccessful,-$75 (2.5 times the risk)
📈 Trading Journal Entry - XAU/USD (Moving Average),XAU/USD (Gold),1.5 Lots,1:3,$1985,High,Successful,$90 (3 times the risk)
📈 Trading Journal Entry - XAU/USD (RSI Bull Trap),XAU/USD (Gold),2 Lots,1:3,$1990,High,Successful,$90 (3 times the risk)
📈 Trading Journal Entry - XAU/USD (Support and Resistance Breakout),XAU/USD (Gold),1.8 Lots,1:2.5,$2005,Medium,Unsuccessful,-$75 (2.5 times the risk)
📈 Trading Journal Entry - XAU/USD (Moving Average),XAU/USD (Gold),1.5 Lots,1:3,$1985,High,Successful,$90 (3 times the risk)
📈 Trading Journal Entry - XAU/USD (RSI Bull Trap),XAU/USD (Gold),2 Lots,1:3,$1990,High,Successful,$90 (3 times the risk)
📈 Trading Journal Entry - XAU/USD (Support and Resistance Breakout),XAU/USD (Gold),1.8 Lots,1:2.5,$2005,Medium,Unsuccessful,-$75 (2.5 times the risk)
📈 Trading Journal Entry - XAU/USD (Moving Average),XAU/USD (Gold),1.5 Lots,1:3,$1985,High,Successful,$90 (3 times the risk)
📈 Trading Journal Entry - XAU/USD (RSI Bull Trap),XAU/USD (Gold),2 Lots,1:3,$1990,High,Successful,$90 (3 times the risk)
📈 Trading Journal Entry - XAU/USD (Support and Resistance Breakout),XAU/USD (Gold),1.8 Lots,1:2.5,$2005,Medium,Unsuccessful,-$75 (2.5 times the risk)
📈 Trading Journal Entry - XAU/USD (Moving Average),XAU/USD (Gold),2 Lots,1:2,$1985,Medium,Unsuccessful,-$20 (1 times the risk)
📈 Trading Journal Entry - XAU/USD (RSI Bull Trap),XAU/USD (Gold),1.5 Lots,1:3,$1992,High,Successful,$54 (3 times the risk)
📈 Trading Journal Entry - XAU/USD (Moving Average),XAU/USD (Gold),1.5 Lots,1:3,$1985,High,Successful,$90 (3 times the risk)
📈 Trading Journal Entry - XAU/USD (Support and Resistance Breakout),XAU/USD (Gold),1.8 Lots,1:4,$2010,Medium,Successful,$120 (4 times the risk)
📈 Trading Journal Entry - XAU/USD (Fibonacci Retracement),XAU/USD (Gold),1.5 Lots,1:2,$1980,High,Successful,$42 (2 times the risk)
📈 Trading Journal Entry - XAU/USD (Double Top Reversal),XAU/USD (Gold),1.7 Lots,1:2.5,$1995,Medium,Unsuccessful,-$30 (1.5 times the risk)
📈 Trading Journal Entry - XAU/USD (Moving Average),XAU/USD (Gold),2 Lots,1:3,$1975,High,Successful,$60 (3 times the risk)
📈 Trading Journal Entry - XAU/USD (RSI Bull Trap),XAU/USD (Gold),1.5 Lots,1:3,$1992,High,Successful,$54 (3 times the risk)
📈 Trading Journal Entry - XAU/USD (Support and Resistance Breakout),XAU/USD (Gold),1.8 Lots,1:4,$2010,High,Successful,$120 (4 times the risk)
📈 Trading Journal Entry - XAU/USD (Moving Average),XAU/USD (Gold),2.2 Lots,1:3.5,$1985,High,Successful,$77 (3.5 times the risk)
